Date,Values,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
22/07/2024,96,36.0,33.0,36.0,35.0,35.0,35.0,34.0,34.0,36.0,35.0,34.0,36.0,35.0,34.0,35.0,35.0,35.0,36.0,33.0,36.0,35.0,37.0,41.0,37.0,37.0,39.0,37.0,38.0,46.0,53.0,54.0,55.0,53.0,53.0,56.0,58.0,60.0,62.0,63.0,65.0,64.0,67.0,66.0,66.0,67.0,67.0,67.0,67.0,65.0,65.0,65.0,65.0,64.0,66.0,65.0,65.0,66.0,64.0,63.0,65.0,64.0,63.0,62.0,62.0,57.0,51.0,49.0,49.0,47.0,43.0,42.0,42.0,40.0,41.0,42.0,40.0,41.0,40.0,40.0,40.0,41.0,39.0,40.0,39.0,38.0,36.0,37.0,38.0,36.0,37.0,37.0,37.0,36.0,37.0,37.0,36.0
23/07/2024,96,38.0,35.0,36.0,36.0,37.0,37.0,35.0,36.0,36.0,35.0,37.0,36.0,35.0,36.0,37.0,36.0,35.0,38.0,36.0,37.0,36.0,38.0,41.0,39.0,39.0,39.0,39.0,39.0,43.0,52.0,54.0,53.0,54.0,54.0,55.0,58.0,61.0,64.0,64.0,64.0,65.0,66.0,66.0,65.0,66.0,67.0,67.0,67.0,66.0,65.0,64.0,63.0,65.0,64.0,64.0,63.0,64.0,66.0,64.0,63.0,64.0,65.0,64.0,62.0,57.0,50.0,50.0,50.0,46.0,44.0,42.0,43.0,42.0,41.0,41.0,38.0,38.0,38.0,38.0,37.0,37.0,35.0,36.0,36.0,37.0,35.0,35.0,35.0,36.0,35.0,36.0,34.0,35.0,36.0,35.0,35.0
24/07/2024,96,34.0,36.0,35.0,33.0,35.0,36.0,33.0,35.0,36.0,35.0,35.0,34.0,34.0,34.0,36.0,35.0,35.0,35.0,34.0,35.0,35.0,38.0,38.0,38.0,38.0,37.0,38.0,40.0,45.0,53.0,53.0,54.0,57.0,56.0,58.0,60.0,62.0,63.0,64.0,66.0,65.0,65.0,65.0,66.0,66.0,64.0,66.0,65.0,64.0,63.0,61.0,62.0,63.0,63.0,63.0,64.0,63.0,63.0,62.0,60.0,62.0,61.0,59.0,58.0,55.0,48.0,47.0,47.0,44.0,41.0,39.0,40.0,38.0,39.0,38.0,38.0,37.0,38.0,38.0,37.0,39.0,37.0,38.0,37.0,37.0,36.0,37.0,37.0,34.0,36.0,35.0,35.0,35.0,36.0,35.0,36.0
25/07/2024,96,35.0,35.0,34.0,34.0,35.0,34.0,36.0,34.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0,35.0,35.0,35.0,34.0,35.0,35.0,38.0,37.0,38.0,38.0,36.0,38.0,39.0,42.0,50.0,52.0,52.0,52.0,53.0,55.0,56.0,58.0,60.0,61.0,62.0,61.0,60.0,65.0,63.0,63.0,64.0,64.0,66.0,64.0,63.0,62.0,64.0,64.0,65.0,64.0,64.0,63.0,64.0,62.0,62.0,63.0,63.0,61.0,61.0,49.0,49.0,50.0,49.0,46.0,42.0,41.0,40.0,40.0,39.0,37.0,37.0,37.0,36.0,38.0,36.0,37.0,36.0,36.0,35.0,35.0,35.0,35.0,34.0,35.0,34.0,33.0,34.0,34.0,35.0,34.0,34.0
26/07/2024,96,34.0,34.0,33.0,34.0,33.0,35.0,33.0,33.0,34.0,34.0,34.0,33.0,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,36.0,37.0,37.0,37.0,36.0,37.0,37.0,43.0,49.0,52.0,54.0,53.0,56.0,55.0,58.0,59.0,59.0,61.0,61.0,61.0,62.0,63.0,64.0,63.0,64.0,64.0,63.0,62.0,60.0,60.0,58.0,60.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,57.0,55.0,53.0,45.0,44.0,45.0,44.0,39.0,39.0,37.0,37.0,37.0,36.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,33.0,34.0,33.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0
27/07/2024,96,33.0,32.0,33.0,33.0,33.0,32.0,34.0,32.0,32.0,33.0,33.0,32.0,33.0,33.0,32.0,32.0,32.0,32.0,34.0,31.0,34.0,31.0,33.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,30.0,32.0,31.0,32.0,31.0,30.0,32.0,31.0,31.0,30.0,32.0,31.0,31.0,31.0,31.0,31.0,32.0,31.0,30.0,32.0,31.0,32.0,31.0,31.0,31.0,31.0,32.0,31.0,32.0,29.0,27.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,33.0,32.0,32.0,33.0,32.0,34.0,32.0,32.0,33.0,32.0,33.0
28/07/2024,96,33.0,32.0,32.0,33.0,32.0,32.0,34.0,33.0,33.0,33.0,32.0,32.0,34.0,33.0,32.0,33.0,33.0,33.0,31.0,33.0,32.0,33.0,31.0,33.0,32.0,33.0,32.0,33.0,32.0,32.0,32.0,32.0,33.0,31.0,32.0,31.0,31.0,32.0,31.0,33.0,30.0,32.0,32.0,32.0,31.0,31.0,32.0,31.0,32.0,32.0,32.0,31.0,32.0,32.0,31.0,32.0,32.0,31.0,31.0,32.0,32.0,31.0,32.0,31.0,33.0,32.0,32.0,33.0,33.0,32.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,33.0,33.0,32.0,33.0,33.0,32.0,34.0,32.0,33.0,33.0,33.0,33.0,32.0,34.0,33.0,33.0,34.0,34.0
29/07/2024,96,32.0,33.0,33.0,34.0,33.0,34.0,32.0,34.0,32.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,34.0,33.0,34.0,33.0,37.0,37.0,36.0,37.0,36.0,38.0,37.0,41.0,51.0,56.0,54.0,56.0,58.0,57.0,57.0,59.0,62.0,62.0,65.0,62.0,63.0,65.0,65.0,64.0,64.0,65.0,64.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,64.0,65.0,62.0,63.0,62.0,62.0,61.0,62.0,60.0,55.0,48.0,46.0,47.0,44.0,41.0,41.0,42.0,40.0,40.0,40.0,40.0,38.0,39.0,40.0,38.0,39.0,37.0,38.0,37.0,38.0,35.0,37.0,34.0,34.0,34.0,35.0,34.0,34.0,33.0,34.0,35.0
30/07/2024,96,34.0,34.0,33.0,35.0,33.0,34.0,34.0,33.0,35.0,33.0,34.0,33.0,34.0,33.0,34.0,34.0,33.0,34.0,34.0,35.0,34.0,37.0,36.0,37.0,37.0,37.0,38.0,38.0,50.0,52.0,52.0,54.0,55.0,55.0,56.0,56.0,57.0,59.0,59.0,61.0,61.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,62.0,62.0,62.0,63.0,61.0,63.0,63.0,65.0,64.0,63.0,61.0,62.0,62.0,63.0,58.0,60.0,56.0,48.0,47.0,46.0,46.0,41.0,41.0,40.0,41.0,43.0,39.0,38.0,39.0,38.0,39.0,38.0,37.0,37.0,37.0,37.0,35.0,36.0,35.0,34.0,34.0,34.0,34.0,33.0,34.0,34.0,33.0,35.0
31/07/2024,96,34.0,33.0,33.0,34.0,33.0,34.0,33.0,34.0,34.0,34.0,34.0,33.0,33.0,35.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,37.0,37.0,36.0,36.0,36.0,38.0,38.0,42.0,51.0,52.0,53.0,52.0,54.0,54.0,55.0,59.0,59.0,60.0,60.0,62.0,62.0,61.0,63.0,62.0,63.0,65.0,63.0,65.0,63.0,63.0,63.0,64.0,66.0,62.0,65.0,64.0,64.0,64.0,63.0,62.0,60.0,60.0,61.0,56.0,48.0,46.0,48.0,44.0,41.0,41.0,39.0,40.0,39.0,40.0,38.0,39.0,39.0,38.0,40.0,39.0,39.0,37.0,36.0,36.0,36.0,36.0,34.0,34.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0
01/08/2024,96,36.0,25.0,30.0,34.0,34.0,33.0,34.0,34.0,34.0,34.0,33.0,34.0,35.0,33.0,33.0,34.0,35.0,34.0,35.0,34.0,35.0,36.0,38.0,36.0,38.0,37.0,38.0,38.0,42.0,52.0,55.0,55.0,55.0,56.0,57.0,57.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,61.0,62.0,60.0,61.0,60.0,62.0,61.0,62.0,60.0,60.0,62.0,60.0,60.0,61.0,60.0,60.0,60.0,58.0,59.0,59.0,59.0,54.0,48.0,46.0,47.0,44.0,42.0,40.0,41.0,39.0,41.0,39.0,39.0,38.0,38.0,38.0,37.0,38.0,37.0,37.0,37.0,36.0,35.0,37.0,35.0,35.0,34.0,36.0,36.0,35.0,36.0,35.0,35.0
02/08/2024,96,37.0,34.0,37.0,34.0,36.0,34.0,36.0,35.0,35.0,35.0,35.0,36.0,36.0,34.0,35.0,36.0,35.0,36.0,34.0,36.0,36.0,37.0,38.0,38.0,38.0,38.0,39.0,38.0,43.0,53.0,53.0,54.0,55.0,54.0,55.0,57.0,57.0,59.0,58.0,60.0,61.0,60.0,61.0,62.0,62.0,60.0,60.0,61.0,61.0,60.0,61.0,60.0,60.0,61.0,61.0,61.0,62.0,60.0,61.0,59.0,58.0,58.0,58.0,55.0,51.0,45.0,45.0,44.0,43.0,40.0,39.0,38.0,38.0,37.0,36.0,37.0,35.0,36.0,34.0,35.0,35.0,34.0,34.0,34.0,34.0,35.0,33.0,33.0,33.0,33.0,32.0,33.0,34.0,32.0,32.0,34.0
03/08/2024,96,33.0,32.0,33.0,32.0,32.0,32.0,34.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,33.0,33.0,31.0,32.0,32.0,33.0,31.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,31.0,31.0,31.0,29.0,33.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,29.0,32.0,30.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,31.0,32.0,32.0,32.0,31.0,32.0,33.0,31.0,32.0,32.0,30.0,33.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,33.0
04/08/2024,96,32.0,32.0,32.0,33.0,32.0,32.0,33.0,32.0,31.0,33.0,33.0,31.0,33.0,31.0,33.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,33.0,32.0,31.0,32.0,32.0,30.0,31.0,31.0,31.0,30.0,31.0,32.0,30.0,32.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,31.0,32.0,31.0,32.0,31.0,31.0,32.0,31.0,32.0,32.0,31.0,31.0,32.0,31.0,32.0,32.0,32.0,33.0,33.0,33.0,32.0,32.0,33.0,33.0,34.0,30.0,29.0,24.0,24.0,25.0,24.0,25.0,25.0,24.0,24.0,24.0,23.0,22.0,23.0,24.0,23.0,23.0,23.0,24.0,23.0
05/08/2024,96,23.0,22.0,24.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,23.0,24.0,22.0,23.0,24.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,25.0,23.0,26.0,24.0,23.0,24.0,22.0,24.0,22.0,23.0,23.0,22.0,23.0,24.0,22.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,24.0,22.0,23.0,22.0,22.0,22.0,23.0,23.0,21.0,23.0,21.0,22.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,25.0,23.0,22.0,24.0,23.0,24.0,23.0,23.0,24.0,23.0,25.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,23.0
06/08/2024,96,25.0,23.0,23.0,23.0,23.0,24.0,23.0,24.0,23.0,24.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,24.0,24.0,23.0,24.0,23.0,23.0,23.0,24.0,25.0,24.0,25.0,27.0,27.0,29.0,28.0,29.0,30.0,37.0,53.0,61.0,63.0,62.0,62.0,62.0,63.0,62.0,64.0,65.0,75.0,64.0,64.0,64.0,65.0,62.0,63.0,66.0,62.0,65.0,63.0,66.0,62.0,63.0,64.0,61.0,62.0,63.0,56.0,49.0,49.0,50.0,46.0,42.0,43.0,42.0,43.0,41.0,40.0,40.0,41.0,39.0,41.0,39.0,38.0,39.0,38.0,38.0,37.0,35.0,35.0,33.0,34.0,33.0,32.0,33.0,33.0,34.0,32.0,33.0
07/08/2024,96,33.0,34.0,32.0,32.0,31.0,33.0,31.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0,35.0,36.0,36.0,36.0,35.0,36.0,37.0,43.0,52.0,56.0,55.0,55.0,56.0,59.0,59.0,60.0,59.0,62.0,62.0,64.0,66.0,64.0,69.0,64.0,67.0,66.0,64.0,66.0,65.0,67.0,66.0,66.0,65.0,65.0,64.0,64.0,65.0,64.0,64.0,61.0,63.0,63.0,59.0,54.0,49.0,48.0,46.0,48.0,41.0,41.0,40.0,41.0,38.0,40.0,39.0,38.0,40.0,39.0,38.0,37.0,39.0,36.0,36.0,36.0,34.0,36.0,34.0,34.0,34.0,34.0,33.0,35.0,34.0,34.0,34.0
08/08/2024,96,33.0,35.0,34.0,34.0,33.0,33.0,35.0,33.0,34.0,33.0,33.0,34.0,33.0,33.0,34.0,34.0,33.0,34.0,33.0,35.0,34.0,36.0,36.0,36.0,37.0,37.0,38.0,38.0,43.0,53.0,56.0,57.0,58.0,55.0,57.0,60.0,59.0,62.0,65.0,63.0,69.0,65.0,67.0,66.0,68.0,65.0,67.0,66.0,68.0,66.0,64.0,70.0,68.0,66.0,71.0,68.0,69.0,66.0,67.0,68.0,66.0,66.0,68.0,64.0,50.0,51.0,52.0,50.0,47.0,44.0,43.0,42.0,42.0,41.0,40.0,40.0,40.0,39.0,40.0,39.0,39.0,38.0,36.0,37.0,36.0,36.0,35.0,33.0,35.0,33.0,33.0,34.0,34.0,34.0,33.0,34.0
09/08/2024,96,34.0,32.0,34.0,32.0,34.0,33.0,34.0,32.0,34.0,33.0,33.0,32.0,34.0,32.0,33.0,34.0,34.0,31.0,34.0,34.0,32.0,37.0,35.0,36.0,36.0,36.0,37.0,37.0,44.0,51.0,53.0,54.0,54.0,55.0,55.0,60.0,59.0,61.0,60.0,65.0,64.0,64.0,64.0,64.0,67.0,62.0,64.0,65.0,62.0,67.0,64.0,64.0,63.0,66.0,63.0,65.0,64.0,62.0,62.0,64.0,62.0,62.0,59.0,59.0,57.0,46.0,46.0,48.0,43.0,38.0,38.0,37.0,37.0,36.0,36.0,36.0,34.0,35.0,35.0,34.0,35.0,34.0,35.0,35.0,35.0,34.0,33.0,34.0,32.0,33.0,33.0,34.0,33.0,32.0,34.0,33.0
10/08/2024,96,34.0,32.0,32.0,33.0,32.0,33.0,32.0,32.0,33.0,32.0,33.0,32.0,32.0,33.0,32.0,33.0,32.0,32.0,33.0,31.0,34.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,34.0,33.0,35.0,34.0,34.0,34.0,34.0,35.0,36.0,33.0,35.0,36.0,34.0,34.0,36.0,36.0,35.0,35.0,36.0,33.0,37.0,37.0,36.0,34.0,37.0,35.0,36.0,35.0,37.0,37.0,35.0,38.0,36.0,37.0,35.0,37.0,33.0,31.0,31.0,33.0,33.0,32.0,32.0,34.0,32.0,32.0,32.0,33.0,31.0,32.0,33.0,31.0,33.0,33.0,32.0,32.0,32.0,31.0,33.0,32.0,32.0,33.0,32.0,33.0,31.0,32.0,33.0,32.0
11/08/2024,96,32.0,33.0,32.0,32.0,33.0,31.0,33.0,32.0,32.0,33.0,32.0,33.0,31.0,33.0,32.0,32.0,33.0,31.0,32.0,33.0,32.0,31.0,32.0,31.0,33.0,31.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,30.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,32.0,31.0,31.0,32.0,32.0,31.0,31.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,30.0,33.0,30.0,31.0,31.0,31.0,31.0,32.0,33.0,31.0,32.0,31.0,33.0,32.0,32.0,32.0,33.0,32.0,31.0,32.0,33.0,32.0,32.0,31.0,34.0,31.0,33.0,32.0,33.0,32.0,32.0,34.0,32.0,32.0,32.0
12/08/2024,96,33.0,33.0,32.0,33.0,32.0,32.0,32.0,33.0,33.0,32.0,33.0,32.0,33.0,32.0,33.0,31.0,34.0,32.0,33.0,34.0,33.0,35.0,36.0,35.0,36.0,36.0,37.0,36.0,42.0,53.0,55.0,56.0,56.0,59.0,62.0,63.0,65.0,64.0,67.0,67.0,63.0,65.0,67.0,66.0,66.0,67.0,65.0,66.0,67.0,65.0,67.0,66.0,63.0,68.0,68.0,65.0,69.0,68.0,70.0,66.0,70.0,67.0,65.0,61.0,59.0,48.0,46.0,46.0,45.0,44.0,40.0,43.0,42.0,40.0,38.0,41.0,48.0,36.0,36.0,36.0,35.0,35.0,35.0,36.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,34.0,34.0,34.0,34.0
13/08/2024,96,35.0,33.0,34.0,34.0,33.0,35.0,33.0,34.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,35.0,35.0,36.0,37.0,36.0,37.0,37.0,37.0,38.0,43.0,54.0,57.0,55.0,55.0,56.0,61.0,61.0,62.0,61.0,64.0,65.0,64.0,66.0,66.0,68.0,70.0,70.0,67.0,70.0,68.0,67.0,67.0,66.0,67.0,67.0,66.0,67.0,67.0,67.0,67.0,67.0,68.0,66.0,67.0,65.0,59.0,48.0,51.0,51.0,51.0,43.0,44.0,42.0,42.0,41.0,41.0,39.0,37.0,36.0,35.0,36.0,34.0,35.0,35.0,35.0,34.0,34.0,34.0,34.0,33.0,35.0,34.0,33.0,33.0,33.0,35.0,34.0
14/08/2024,96,34.0,33.0,33.0,34.0,34.0,33.0,33.0,33.0,32.0,35.0,33.0,34.0,33.0,35.0,33.0,33.0,34.0,34.0,33.0,34.0,34.0,36.0,38.0,37.0,36.0,37.0,38.0,38.0,42.0,54.0,54.0,57.0,56.0,58.0,62.0,64.0,63.0,64.0,66.0,65.0,67.0,68.0,68.0,67.0,71.0,68.0,69.0,70.0,71.0,70.0,71.0,71.0,70.0,71.0,71.0,70.0,68.0,72.0,67.0,69.0,67.0,65.0,66.0,64.0,59.0,49.0,48.0,50.0,46.0,42.0,41.0,38.0,38.0,37.0,36.0,35.0,36.0,35.0,35.0,36.0,35.0,34.0,34.0,35.0,35.0,36.0,33.0,35.0,35.0,34.0,34.0,35.0,34.0,35.0,35.0,34.0
15/08/2024,96,35.0,35.0,33.0,34.0,34.0,33.0,35.0,34.0,33.0,35.0,34.0,33.0,34.0,35.0,33.0,35.0,34.0,35.0,34.0,34.0,36.0,38.0,38.0,37.0,37.0,40.0,37.0,40.0,42.0,55.0,55.0,53.0,57.0,57.0,57.0,59.0,65.0,62.0,65.0,66.0,66.0,67.0,69.0,67.0,68.0,70.0,70.0,68.0,65.0,69.0,64.0,64.0,65.0,63.0,68.0,64.0,65.0,64.0,62.0,63.0,62.0,60.0,63.0,60.0,59.0,49.0,48.0,47.0,47.0,42.0,43.0,42.0,43.0,41.0,38.0,42.0,38.0,38.0,40.0,38.0,38.0,37.0,36.0,38.0,34.0,34.0,35.0,34.0,35.0,34.0,35.0,34.0,34.0,35.0,33.0,35.0
16/08/2024,96,33.0,34.0,34.0,33.0,33.0,33.0,32.0,34.0,32.0,34.0,32.0,33.0,34.0,33.0,33.0,33.0,34.0,33.0,33.0,34.0,34.0,36.0,36.0,38.0,37.0,37.0,37.0,40.0,43.0,53.0,52.0,53.0,56.0,56.0,57.0,59.0,59.0,61.0,60.0,61.0,61.0,65.0,65.0,64.0,60.0,63.0,62.0,63.0,62.0,61.0,62.0,63.0,63.0,61.0,62.0,62.0,62.0,64.0,61.0,63.0,61.0,61.0,63.0,59.0,59.0,48.0,48.0,47.0,47.0,44.0,43.0,40.0,39.0,40.0,38.0,38.0,37.0,35.0,36.0,38.0,36.0,35.0,35.0,34.0,35.0,34.0,33.0,34.0,34.0,33.0,34.0,34.0,33.0,33.0,33.0,34.0
17/08/2024,96,33.0,32.0,33.0,33.0,33.0,32.0,32.0,33.0,33.0,32.0,33.0,33.0,33.0,31.0,33.0,33.0,33.0,32.0,32.0,33.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,35.0,37.0,37.0,38.0,37.0,38.0,35.0,36.0,38.0,36.0,36.0,36.0,37.0,36.0,36.0,37.0,37.0,36.0,38.0,37.0,36.0,39.0,36.0,37.0,37.0,37.0,37.0,38.0,36.0,34.0,37.0,39.0,38.0,37.0,36.0,36.0,35.0,32.0,32.0,33.0,33.0,32.0,33.0,33.0,33.0,31.0,33.0,32.0,34.0,31.0,33.0,33.0,32.0,33.0,33.0,33.0,31.0,33.0,33.0,34.0,32.0,33.0,32.0,33.0,32.0,34.0,33.0,32.0
18/08/2024,96,33.0,32.0,33.0,32.0,34.0,31.0,33.0,34.0,33.0,32.0,33.0,33.0,34.0,32.0,34.0,33.0,33.0,33.0,34.0,32.0,34.0,31.0,33.0,32.0,34.0,31.0,33.0,33.0,33.0,32.0,33.0,33.0,31.0,32.0,31.0,32.0,31.0,32.0,30.0,32.0,33.0,30.0,32.0,32.0,32.0,30.0,33.0,30.0,33.0,31.0,32.0,31.0,32.0,32.0,32.0,31.0,31.0,33.0,31.0,31.0,31.0,33.0,32.0,31.0,31.0,31.0,31.0,34.0,32.0,32.0,32.0,32.0,33.0,33.0,32.0,32.0,33.0,32.0,33.0,32.0,33.0,33.0,33.0,32.0,32.0,33.0,34.0,32.0,33.0,32.0,32.0,33.0,33.0,33.0,32.0,32.0
19/08/2024,96,33.0,32.0,32.0,33.0,32.0,33.0,32.0,33.0,32.0,33.0,31.0,34.0,32.0,31.0,33.0,32.0,33.0,33.0,34.0,34.0,34.0,35.0,35.0,35.0,36.0,36.0,38.0,39.0,42.0,59.0,55.0,57.0,59.0,61.0,59.0,61.0,63.0,62.0,62.0,65.0,63.0,63.0,63.0,65.0,64.0,64.0,65.0,64.0,64.0,64.0,64.0,63.0,64.0,63.0,63.0,65.0,64.0,66.0,61.0,67.0,61.0,64.0,63.0,63.0,58.0,46.0,47.0,47.0,45.0,39.0,38.0,39.0,37.0,38.0,37.0,37.0,36.0,36.0,36.0,36.0,35.0,36.0,36.0,36.0,35.0,34.0,34.0,35.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,33.0
20/08/2024,96,33.0,35.0,33.0,34.0,33.0,33.0,34.0,32.0,33.0,32.0,35.0,32.0,34.0,34.0,33.0,34.0,34.0,33.0,35.0,33.0,35.0,36.0,35.0,37.0,37.0,36.0,37.0,40.0,42.0,48.0,52.0,56.0,58.0,58.0,59.0,61.0,61.0,61.0,63.0,62.0,63.0,63.0,65.0,66.0,66.0,66.0,65.0,67.0,64.0,65.0,64.0,63.0,63.0,64.0,65.0,65.0,66.0,65.0,64.0,65.0,66.0,63.0,62.0,63.0,59.0,47.0,49.0,47.0,42.0,41.0,40.0,39.0,38.0,38.0,37.0,38.0,37.0,36.0,38.0,37.0,36.0,37.0,37.0,37.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0,34.0,35.0,33.0,35.0,35.0
21/08/2024,96,34.0,34.0,33.0,34.0,35.0,33.0,34.0,33.0,34.0,34.0,34.0,33.0,34.0,34.0,33.0,34.0,33.0,34.0,34.0,34.0,34.0,37.0,36.0,36.0,36.0,37.0,37.0,39.0,44.0,55.0,54.0,55.0,56.0,58.0,60.0,60.0,61.0,63.0,65.0,64.0,65.0,64.0,64.0,66.0,66.0,67.0,67.0,66.0,67.0,65.0,67.0,64.0,65.0,65.0,63.0,66.0,64.0,65.0,63.0,66.0,64.0,64.0,61.0,63.0,57.0,47.0,50.0,47.0,45.0,41.0,42.0,39.0,27.0,40.0,40.0,40.0,39.0,39.0,40.0,38.0,38.0,37.0,36.0,38.0,37.0,36.0,35.0,35.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
22/08/2024,96,35.0,34.0,35.0,34.0,35.0,33.0,34.0,35.0,34.0,34.0,35.0,35.0,34.0,35.0,35.0,36.0,35.0,34.0,35.0,35.0,36.0,37.0,37.0,38.0,37.0,39.0,38.0,40.0,44.0,52.0,55.0,55.0,56.0,57.0,60.0,60.0,64.0,63.0,67.0,66.0,64.0,66.0,68.0,67.0,65.0,66.0,66.0,70.0,67.0,67.0,67.0,67.0,67.0,66.0,68.0,66.0,66.0,66.0,67.0,63.0,64.0,62.0,62.0,60.0,58.0,46.0,45.0,46.0,46.0,42.0,41.0,40.0,41.0,38.0,41.0,40.0,39.0,39.0,40.0,39.0,36.0,38.0,36.0,37.0,37.0,36.0,37.0,36.0,35.0,36.0,35.0,36.0,36.0,35.0,36.0,36.0
23/08/2024,96,35.0,35.0,36.0,35.0,35.0,35.0,35.0,34.0,35.0,36.0,35.0,35.0,34.0,34.0,35.0,36.0,36.0,34.0,35.0,36.0,35.0,37.0,39.0,36.0,38.0,37.0,38.0,39.0,43.0,51.0,51.0,53.0,52.0,53.0,52.0,58.0,56.0,60.0,59.0,59.0,61.0,62.0,62.0,63.0,64.0,64.0,66.0,63.0,64.0,65.0,64.0,66.0,62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24/08/2024,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25/08/2024,96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
